service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
3287D,0,0,0,0,0,0,1,20250608,20250608                                                                                                                 
3288L,1,0,0,0,0,0,0,20250609,20250609                                                                                                                 
3289M,0,1,0,0,0,0,0,20250610,20250610                                                                                                                 
3290X,0,0,1,0,0,0,0,20250611,20250611                                                                                                                 
3291J,0,0,0,1,0,0,0,20250612,20250612                                                                                                                 
3292V,0,0,0,0,1,0,0,20250613,20250613                                                                                                                 
4062X,0,0,1,0,0,0,0,20250514,20250514                                                                                                                 
4063J,0,0,0,1,0,0,0,20250515,20250515                                                                                                                 
4064V,0,0,0,0,1,0,0,20250516,20250516                                                                                                                 
4065S,0,0,0,0,0,1,0,20250517,20250517                                                                                                                 
4066D,0,0,0,0,0,0,1,20250518,20250518                                                                                                                 
4067L,1,0,0,0,0,0,0,20250519,20250519                                                                                                                 
4068M,0,1,0,0,0,0,0,20250520,20250520                                                                                                                 
4069X,0,0,1,0,0,0,0,20250521,20250521                                                                                                                 
4070J,0,0,0,1,0,0,0,20250522,20250522                                                                                                                 
4071V,0,0,0,0,1,0,0,20250523,20250523                                                                                                                 
4072S,0,0,0,0,0,1,0,20250524,20250524                                                                                                                 
4073D,0,0,0,0,0,0,1,20250525,20250525                                                                                                                 
4074L,1,0,0,0,0,0,0,20250526,20250526                                                                                                                 
4075M,0,1,0,0,0,0,0,20250527,20250527                                                                                                                 
4076X,0,0,1,0,0,0,0,20250528,20250528                                                                                                                 
4077J,0,0,0,1,0,0,0,20250529,20250529                                                                                                                 
4078V,0,0,0,0,1,0,0,20250530,20250530                                                                                                                 
4079S,0,0,0,0,0,1,0,20250531,20250531                                                                                                                 
4080D,0,0,0,0,0,0,1,20250601,20250601                                                                                                                 
4081L,1,0,0,0,0,0,0,20250602,20250602                                                                                                                 
4082M,0,1,0,0,0,0,0,20250603,20250603                                                                                                                 
4083X,0,0,1,0,0,0,0,20250604,20250604                                                                                                                 
4084J,0,0,0,1,0,0,0,20250605,20250605                                                                                                                 
